id,begin,end,utterance_id,word_id,pronunciation_id
431,0.0,0.44999998807907104,211,177627,185456
432,0.44999998807907104,0.49037501215934753,211,1,1
433,0.0,0.4000000059604645,212,24237,25315
434,0.4000000059604645,0.429500013589859,212,1,1
435,0.0,0.18000000715255737,213,38645,40312
436,0.18000000715255737,0.46000000834465027,213,198568,207334
437,0.46000000834465027,0.4973124861717224,213,1,1
438,0.0,0.15000000596046448,214,198630,207399
439,0.15000000596046448,0.6399999856948853,214,177627,185456
440,0.6399999856948853,0.6774374842643738,214,1,1
441,0.0,0.41999998688697815,215,62810,65968
442,0.41999998688697815,0.4658749997615814,215,1,1
443,0.0,0.550000011920929,216,121458,126780
444,0.550000011920929,0.5759999752044678,216,1,1
445,0.0,0.30000001192092896,217,121557,126881
446,0.30000001192092896,0.4399999976158142,217,178185,186023
447,0.4399999976158142,0.7099999785423279,217,111427,116414
448,0.7099999785423279,0.9900000095367432,217,198568,207334
449,0.9900000095367432,1.0379999876022339,217,1,1
450,0.0,0.36000001430511475,218,98404,102991
451,0.36000001430511475,0.4455625116825104,218,1,1
452,0.0,0.029999999329447746,219,1,1
453,0.029999999329447746,0.4000000059604645,219,159262,166461
454,0.4000000059604645,0.4646250009536743,219,1,1
455,0.0,0.18000000715255737,22,84688,88643
456,0.18000000715255737,0.8199999928474426,22,567,597
457,0.8199999928474426,1.0499999523162842,22,104378,109181
458,1.0499999523162842,1.25,22,89641,94038
459,1.25,1.2848750352859497,22,1,1
460,0.0,0.029999999329447746,220,1,1
461,0.029999999329447746,0.44999998807907104,220,168735,176220
462,0.44999998807907104,0.5253124833106995,220,1,1
463,0.0,0.28999999165534973,221,43241,45093
464,0.28999999165534973,0.31931251287460327,221,1,1
465,0.0,0.17000000178813934,222,49131,51438
466,0.17000000178813934,0.38999998569488525,222,89641,94038
467,0.38999998569488525,0.42137500643730164,222,1,1
468,0.0,0.17000000178813934,223,10928,11594
469,0.17000000178813934,0.3499999940395355,223,119297,124528
470,0.3499999940395355,0.7300000190734863,223,119297,124528
471,0.7300000190734863,0.7589374780654907,223,1,1
472,0.0,0.3700000047683716,224,27959,29180
473,0.3700000047683716,0.4194999933242798,224,1,1
474,0.0,0.029999999329447746,225,1,1
475,0.029999999329447746,0.23999999463558197,225,154857,161908
476,0.23999999463558197,0.5600000023841858,225,194057,202480
477,0.5600000023841858,0.652999997138977,225,1,1
478,0.0,0.3499999940395355,226,24575,25662
479,0.3499999940395355,0.382999986410141,226,1,1
480,0.0,0.3799999952316284,227,174811,182531
481,0.3799999952316284,0.4206874966621399,227,1,1
482,0.0,0.07999999821186066,228,175734,183488
483,0.07999999821186066,0.3199999928474426,228,170730,178297
484,0.3199999928474426,0.46000000834465027,228,89336,93717
485,0.46000000834465027,0.6200000047683716,228,186639,194733
486,0.6200000047683716,0.8700000047683716,228,465,491
487,0.8700000047683716,0.9800000190734863,228,175734,183488
488,0.9800000190734863,1.4299999475479126,228,24237,25315
489,1.4299999475479126,1.4633125066757202,228,1,1
490,0.0,0.3700000047683716,229,151953,158909
491,0.3700000047683716,0.41350001096725464,229,1,1
492,0.0,0.03999999910593033,23,1,1
493,0.03999999910593033,0.5299999713897705,23,179281,187152
494,0.5299999713897705,0.5571874976158142,23,1,1
495,0.0,0.029999999329447746,230,1,1
496,0.029999999329447746,0.36000001430511475,230,161795,169060
497,0.36000001430511475,0.3851875066757202,230,1,1
498,0.0,0.20000000298023224,231,123640,129010
499,0.20000000298023224,0.6200000047683716,231,131753,137465
500,0.6200000047683716,0.656374990940094,231,1,1
501,0.0,0.4699999988079071,232,12039,12743
502,0.4699999988079071,0.5034999847412109,232,1,1
503,0.0,0.12999999523162842,233,176155,183924
